Reg Number,Name,Year,Branch,CGPA
21BME0350,Aditya Singh,3,Mechanical Engineering,8.24
20BIT9330,Aarav Singh,4,Information Technology,7.29
21BCE0409,Ananya Das,3,Computer Engineering,9.74
22BEE0158,Ishita Reddy,2,Electrical Engineering,7.8
21BEE7402,Aditya Reddy,3,Electrical Engineering,8.16
21BEE8287,Arjun Gupta,3,Electrical Engineering,6.87
20BEE1691,Krishna Nair,4,Electrical Engineering,6.43
23BCH9736,Ishita Nair,1,Chemical Engineering,6.69
21BCH2096,Arjun Verma,3,Chemical Engineering,6.99
20BCE0596,Krishna Singh,4,Computer Engineering,9.19
21BME1332,Neha Roy,3,Mechanical Engineering,6.17
20BCE0230,Ishita Reddy,4,Computer Engineering,6.84
22BCH8467,Sneha Sharma,2,Chemical Engineering,9.33
20BIT3001,Krishna Reddy,4,Information Technology,7.9
20BME5412,Aditya Nair,4,Mechanical Engineering,6.83
20BME3273,Neha Singh,4,Mechanical Engineering,6.75
21BIT9205,Arjun Das,3,Information Technology,7.2
21BIT8101,Vivaan Gupta,3,Information Technology,6.76
21BCH9561,Arjun Singh,3,Chemical Engineering,8.4
21BCH5534,Ananya Patel,3,Chemical Engineering,9.9
21BCH3613,Ananya Reddy,3,Chemical Engineering,7.94
22BME7972,Neha Reddy,2,Mechanical Engineering,7.87
22BCH9917,Ishita Iyer,2,Chemical Engineering,7.83
20BCE0589,Krishna Roy,4,Computer Engineering,7.23
21BIT8716,Arjun Reddy,3,Information Technology,9.1
22BME4747,Pooja Das,2,Mechanical Engineering,7.9
21BEE3689,Sneha Sharma,3,Electrical Engineering,6.39
22BCE1611,Ananya Patel,2,Computer Engineering,8.44
23BME8799,Aditya Patel,1,Mechanical Engineering,7.27
20BEE0175,Ishita Patel,4,Electrical Engineering,6.81
22BCH3878,Vivaan Nair,2,Chemical Engineering,6.5
20BIT0882,Neha Reddy,4,Information Technology,8.49
21BCH0816,Neha Singh,3,Chemical Engineering,6.41
20BCH1196,Ishita Sharma,4,Chemical Engineering,9.49
23BCE1077,Krishna Singh,1,Computer Engineering,8.11
20BCH2143,Arjun Verma,4,Chemical Engineering,6.45
22BME9398,Sneha Reddy,2,Mechanical Engineering,7.54
22BIT3195,Ananya Gupta,2,Information Technology,7.79
23BEE3303,Ishita Singh,1,Electrical Engineering,8.08
23BME5296,Vivaan Sharma,1,Mechanical Engineering,6.07
21BCE9378,Aditya Verma,3,Computer Engineering,6.44
22BEE2925,Aarav Iyer,2,Electrical Engineering,6.6
20BCE4642,Arjun Singh,4,Computer Engineering,7.12
20BCE9425,Pooja Patel,4,Computer Engineering,8.84
20BEE8662,Pooja Roy,4,Electrical Engineering,7.51
21BME8946,Vivaan Sharma,3,Mechanical Engineering,8.31
23BCE3863,Ananya Gupta,1,Computer Engineering,6.19
23BIT4732,Arjun Verma,1,Information Technology,9.55
23BIT4857,Aditya Sharma,1,Information Technology,7.49
21BEE4080,Neha Patel,3,Electrical Engineering,8.16
22BIT5246,Ananya Verma,2,Information Technology,8.33
23BCE7283,Aarav Reddy,1,Computer Engineering,7.83
20BIT0988,Vivaan Gupta,4,Information Technology,8.33
20BIT7380,Vivaan Iyer,4,Information Technology,9.86
23BCH4354,Pooja Singh,1,Chemical Engineering,8.1
22BME2733,Aditya Iyer,2,Mechanical Engineering,8.36
21BEE4816,Pooja Iyer,3,Electrical Engineering,9.75
23BCH8179,Aarav Patel,1,Chemical Engineering,9.35
20BME9049,Aditya Reddy,4,Mechanical Engineering,7.18
23BIT5796,Aditya Patel,1,Information Technology,6.3
22BCE0435,Krishna Patel,2,Computer Engineering,7.35
21BCH5481,Aditya Iyer,3,Chemical Engineering,9.47
21BME8625,Neha Roy,3,Mechanical Engineering,7.43
21BCH1229,Aditya Singh,3,Chemical Engineering,7.89
20BME7686,Ishita Nair,4,Mechanical Engineering,6.37
23BCH8170,Ishita Reddy,1,Chemical Engineering,8.15
23BCE2509,Aditya Patel,1,Computer Engineering,7.47
21BCH4357,Aditya Singh,3,Chemical Engineering,8.96
22BIT9533,Ananya Verma,2,Information Technology,9.26
22BCE7043,Aditya Patel,2,Computer Engineering,9.27
21BCE3192,Vivaan Iyer,3,Computer Engineering,7.27
20BEE9270,Sneha Reddy,4,Electrical Engineering,7.51
23BCH8324,Pooja Verma,1,Chemical Engineering,7.17
23BCE4051,Neha Iyer,1,Computer Engineering,9.94
20BIT7629,Pooja Roy,4,Information Technology,6.26
22BCE6819,Aditya Nair,2,Computer Engineering,7.21
20BME5532,Ishita Gupta,4,Mechanical Engineering,7.42
20BCH5283,Ishita Roy,4,Chemical Engineering,7.6
20BIT5628,Neha Sharma,4,Information Technology,8.9
22BIT3961,Aditya Patel,2,Information Technology,9.96
20BEE8021,Sneha Verma,4,Electrical Engineering,8.22
23BCH7016,Sneha Gupta,1,Chemical Engineering,7.42
22BEE9363,Neha Singh,2,Electrical Engineering,9.7
20BCE4910,Vivaan Gupta,4,Computer Engineering,8.26
21BCE4533,Aditya Patel,3,Computer Engineering,9.18
23BEE3621,Aditya Singh,1,Electrical Engineering,7.98
20BME9357,Ananya Iyer,4,Mechanical Engineering,6.94
22BIT2046,Arjun Roy,2,Information Technology,7.44
23BCE8246,Arjun Gupta,1,Computer Engineering,7.48
22BEE5578,Arjun Das,2,Electrical Engineering,8.44
20BCE9848,Ananya Singh,4,Computer Engineering,9.37
21BIT7122,Sneha Das,3,Information Technology,6.72
21BME3189,Krishna Das,3,Mechanical Engineering,7.64
20BCH7978,Neha Das,4,Chemical Engineering,7.93
21BCE5586,Sneha Reddy,3,Computer Engineering,6.22
23BEE8530,Pooja Iyer,1,Electrical Engineering,8.71
22BCE3622,Arjun Nair,2,Computer Engineering,9.9
23BIT3285,Ishita Sharma,1,Information Technology,6.91
20BME8832,Pooja Gupta,4,Mechanical Engineering,6.65
23BCE2917,Aditya Singh,1,Computer Engineering,10.0
20BIT3864,Aarav Das,4,Information Technology,6.03
22BEE2519,Ishita Singh,2,Electrical Engineering,6.52
22BIT5584,Arjun Singh,2,Information Technology,6.13
23BCE8787,Ananya Nair,1,Computer Engineering,8.68
20BCH6565,Ananya Verma,4,Chemical Engineering,6.17
21BEE1994,Vivaan Patel,3,Electrical Engineering,6.62
22BIT9443,Aarav Verma,2,Information Technology,7.37
23BCE9102,Aditya Singh,1,Computer Engineering,8.76
20BCE6216,Arjun Roy,4,Computer Engineering,6.64
22BCE9428,Krishna Iyer,2,Computer Engineering,6.06
22BCH3318,Sneha Reddy,2,Chemical Engineering,6.39
21BIT8602,Pooja Das,3,Information Technology,7.83
23BEE9067,Krishna Das,1,Electrical Engineering,9.91
21BCH3633,Krishna Das,3,Chemical Engineering,9.54
20BEE0361,Arjun Patel,4,Electrical Engineering,6.82
21BCE7950,Sneha Singh,3,Computer Engineering,7.15
21BIT4755,Ananya Patel,3,Information Technology,6.92
23BCH4662,Krishna Sharma,1,Chemical Engineering,8.54
22BCH6852,Pooja Das,2,Chemical Engineering,8.84
22BCH8766,Pooja Sharma,2,Chemical Engineering,6.82
22BME8176,Krishna Gupta,2,Mechanical Engineering,6.28
22BME5578,Neha Sharma,2,Mechanical Engineering,9.35
23BCE0672,Aarav Roy,1,Computer Engineering,7.25
23BEE1307,Vivaan Sharma,1,Electrical Engineering,7.99
21BME4256,Aditya Roy,3,Mechanical Engineering,6.05
22BIT4394,Arjun Gupta,2,Information Technology,6.97
22BME5850,Ishita Roy,2,Mechanical Engineering,7.25
22BME8588,Arjun Nair,2,Mechanical Engineering,8.3
21BCH5406,Aarav Verma,3,Chemical Engineering,9.48
22BCH4007,Arjun Das,2,Chemical Engineering,7.31
20BCH2183,Ananya Roy,4,Chemical Engineering,6.55
22BCH8357,Ishita Reddy,2,Chemical Engineering,9.73
22BME3887,Pooja Nair,2,Mechanical Engineering,7.49
21BME6778,Ananya Nair,3,Mechanical Engineering,6.99
23BCH5730,Sneha Reddy,1,Chemical Engineering,8.66
22BEE5123,Aarav Gupta,2,Electrical Engineering,9.24
23BCE1545,Aarav Sharma,1,Computer Engineering,9.18
21BIT9993,Neha Roy,3,Information Technology,7.92
21BME6746,Aditya Verma,3,Mechanical Engineering,9.07
23BIT5653,Pooja Das,1,Information Technology,9.29
21BEE2491,Sneha Sharma,3,Electrical Engineering,6.14
20BIT0679,Arjun Iyer,4,Information Technology,6.03
23BIT3153,Ananya Sharma,1,Information Technology,6.6
21BCE5607,Arjun Gupta,3,Computer Engineering,9.16
21BEE0337,Krishna Iyer,3,Electrical Engineering,7.01
20BCH5207,Ananya Patel,4,Chemical Engineering,8.26
20BEE1947,Vivaan Sharma,4,Electrical Engineering,9.41
21BCH7032,Pooja Singh,3,Chemical Engineering,7.98
22BCH9518,Pooja Reddy,2,Chemical Engineering,7.06
20BME4193,Pooja Roy,4,Mechanical Engineering,8.95
22BIT1395,Krishna Roy,2,Information Technology,7.7
21BCH2359,Sneha Reddy,3,Chemical Engineering,9.75
22BME1690,Ananya Patel,2,Mechanical Engineering,6.81
23BEE6065,Aditya Reddy,1,Electrical Engineering,7.8
23BEE5425,Ananya Das,1,Electrical Engineering,9.08
20BCH8209,Ananya Patel,4,Chemical Engineering,6.74
21BCH0724,Sneha Sharma,3,Chemical Engineering,9.1
20BCE3350,Ananya Patel,4,Computer Engineering,8.12
21BIT9682,Pooja Reddy,3,Information Technology,8.45
21BEE7259,Ishita Iyer,3,Electrical Engineering,7.62
20BEE2088,Sneha Sharma,4,Electrical Engineering,9.93
22BIT6919,Arjun Patel,2,Information Technology,8.7
21BIT5719,Aarav Roy,3,Information Technology,9.99
22BCE3483,Neha Iyer,2,Computer Engineering,6.02
21BIT7407,Ishita Das,3,Information Technology,8.98
20BEE3205,Ananya Nair,4,Electrical Engineering,9.3
23BME6776,Aarav Patel,1,Mechanical Engineering,9.96
20BME6904,Aditya Verma,4,Mechanical Engineering,9.35
20BME9409,Krishna Das,4,Mechanical Engineering,6.18
21BCE1647,Aarav Das,3,Computer Engineering,6.74
23BCE2766,Pooja Reddy,1,Computer Engineering,9.49
23BCE9891,Pooja Das,1,Computer Engineering,9.53
21BME3850,Vivaan Verma,3,Mechanical Engineering,8.65
22BCH4075,Sneha Roy,2,Chemical Engineering,6.52
21BEE6393,Krishna Singh,3,Electrical Engineering,8.07
22BIT1577,Arjun Gupta,2,Information Technology,9.49
21BCE2732,Ananya Singh,3,Computer Engineering,6.78
23BIT6258,Aditya Singh,1,Information Technology,9.3
21BIT7126,Sneha Singh,3,Information Technology,7.86
23BCE9576,Aarav Iyer,1,Computer Engineering,9.98
23BEE1113,Pooja Roy,1,Electrical Engineering,9.0
23BIT7892,Ishita Reddy,1,Information Technology,9.08
23BCE4356,Aditya Nair,1,Computer Engineering,8.6
21BCE9637,Vivaan Nair,3,Computer Engineering,7.21
22BIT9250,Sneha Verma,2,Information Technology,6.37
20BCE1704,Sneha Iyer,4,Computer Engineering,7.12
20BEE9609,Aarav Patel,4,Electrical Engineering,9.86
23BIT6929,Ananya Verma,1,Information Technology,7.65
22BME9780,Ananya Roy,2,Mechanical Engineering,8.39
23BCH4764,Aarav Das,1,Chemical Engineering,7.13
20BCE7918,Sneha Iyer,4,Computer Engineering,7.77
21BME8113,Krishna Reddy,3,Mechanical Engineering,7.57
23BEE2442,Aditya Roy,1,Electrical Engineering,9.76
23BEE7253,Neha Patel,1,Electrical Engineering,6.22
22BIT9940,Aditya Roy,2,Information Technology,9.14
23BCH0107,Neha Roy,1,Chemical Engineering,9.32
20BIT8399,Arjun Nair,4,Information Technology,7.49
23BEE6698,Neha Roy,1,Electrical Engineering,8.38
23BCH8791,Ishita Verma,1,Chemical Engineering,7.02
21BME4035,Ishita Roy,3,Mechanical Engineering,8.63
21BIT3613,Aarav Verma,3,Information Technology,7.81
23BEE2324,Neha Das,1,Electrical Engineering,6.83
20BCH8228,Aditya Nair,4,Chemical Engineering,8.92
20BCE2384,Ananya Patel,4,Computer Engineering,8.92
20BCE6765,Neha Roy,4,Computer Engineering,6.7
20BEE9278,Arjun Singh,4,Electrical Engineering,9.76
22BEE5884,Sneha Verma,2,Electrical Engineering,9.13
21BME2063,Aarav Verma,3,Mechanical Engineering,6.38
21BEE1099,Ananya Roy,3,Electrical Engineering,8.93
22BME4072,Aarav Sharma,2,Mechanical Engineering,7.97
22BCH4909,Krishna Singh,2,Chemical Engineering,8.08
21BIT3755,Vivaan Iyer,3,Information Technology,7.75
22BME2479,Arjun Reddy,2,Mechanical Engineering,8.68
23BCH5689,Krishna Verma,1,Chemical Engineering,7.77
22BEE8312,Aditya Iyer,2,Electrical Engineering,6.18
23BEE6026,Arjun Nair,1,Electrical Engineering,6.76
22BEE8650,Sneha Iyer,2,Electrical Engineering,9.11
20BCE8431,Krishna Singh,4,Computer Engineering,9.75
21BEE2024,Arjun Sharma,3,Electrical Engineering,9.55
22BCH0173,Aarav Patel,2,Chemical Engineering,9.13
20BEE0274,Sneha Das,4,Electrical Engineering,9.76
23BIT7018,Neha Sharma,1,Information Technology,9.58
23BIT7713,Vivaan Patel,1,Information Technology,8.84
21BCH9867,Aditya Das,3,Chemical Engineering,6.43
21BCH1558,Neha Patel,3,Chemical Engineering,7.56
22BCE6648,Aarav Gupta,2,Computer Engineering,6.23
23BIT6683,Pooja Sharma,1,Information Technology,6.34
22BCE4239,Neha Reddy,2,Computer Engineering,9.41
23BCH4099,Neha Singh,1,Chemical Engineering,7.57
23BIT0907,Ananya Das,1,Information Technology,6.31
20BIT1370,Neha Sharma,4,Information Technology,8.94
20BCE3433,Arjun Gupta,4,Computer Engineering,9.23
22BIT7462,Ananya Das,2,Information Technology,6.02
21BIT3725,Aditya Patel,3,Information Technology,6.32
23BEE3536,Vivaan Gupta,1,Electrical Engineering,7.02
23BME0906,Neha Nair,1,Mechanical Engineering,8.55
23BME2205,Ananya Iyer,1,Mechanical Engineering,8.13
21BCH8142,Sneha Gupta,3,Chemical Engineering,8.05
23BIT3636,Arjun Iyer,1,Information Technology,6.34
21BIT4471,Aditya Gupta,3,Information Technology,7.37
20BIT6289,Sneha Roy,4,Information Technology,9.71
22BCH0662,Aarav Gupta,2,Chemical Engineering,9.73
23BIT3973,Sneha Singh,1,Information Technology,7.07
20BIT6447,Ananya Patel,4,Information Technology,6.34
20BEE8295,Ananya Sharma,4,Electrical Engineering,7.94
20BIT3099,Sneha Reddy,4,Information Technology,8.54
20BME4435,Pooja Das,4,Mechanical Engineering,7.13
20BME9901,Vivaan Iyer,4,Mechanical Engineering,7.79
22BIT5733,Arjun Verma,2,Information Technology,9.4
22BCE2546,Ishita Reddy,2,Computer Engineering,7.18
22BEE2061,Neha Das,2,Electrical Engineering,6.39
21BEE9781,Vivaan Roy,3,Electrical Engineering,6.2
22BEE3997,Neha Sharma,2,Electrical Engineering,8.97
20BCE5565,Pooja Reddy,4,Computer Engineering,6.16
21BCH8394,Aditya Roy,3,Chemical Engineering,9.87
21BCE8507,Sneha Reddy,3,Computer Engineering,6.79
23BIT6450,Aarav Patel,1,Information Technology,8.29
22BCE8920,Sneha Verma,2,Computer Engineering,8.43
21BCH9252,Aditya Patel,3,Chemical Engineering,7.34
20BME6424,Arjun Iyer,4,Mechanical Engineering,8.76
20BEE0687,Krishna Verma,4,Electrical Engineering,8.05
21BME7835,Krishna Gupta,3,Mechanical Engineering,7.55
21BCE1416,Sneha Sharma,3,Computer Engineering,8.72
23BCE5576,Aarav Gupta,1,Computer Engineering,6.98
22BEE3278,Ishita Roy,2,Electrical Engineering,6.49
22BEE3835,Arjun Nair,2,Electrical Engineering,9.49
22BCH3968,Aarav Das,2,Chemical Engineering,8.68
22BCE5042,Aarav Roy,2,Computer Engineering,7.97
20BCE5758,Aarav Das,4,Computer Engineering,8.4
23BEE6825,Aarav Das,1,Electrical Engineering,7.82
22BEE9788,Aditya Patel,2,Electrical Engineering,9.08
21BCE1621,Neha Nair,3,Computer Engineering,6.32
21BCH8500,Sneha Reddy,3,Chemical Engineering,9.13
23BME6127,Ananya Sharma,1,Mechanical Engineering,7.13
20BEE0346,Krishna Roy,4,Electrical Engineering,6.46
21BIT3830,Vivaan Roy,3,Information Technology,9.65
20BME7120,Ishita Patel,4,Mechanical Engineering,8.27
21BEE5161,Aarav Verma,3,Electrical Engineering,6.29
23BEE9998,Ananya Roy,1,Electrical Engineering,9.16
21BEE6041,Ishita Gupta,3,Electrical Engineering,9.0
23BIT1298,Pooja Reddy,1,Information Technology,7.6
22BEE2899,Pooja Patel,2,Electrical Engineering,7.78
22BEE4027,Pooja Gupta,2,Electrical Engineering,7.02
22BIT5671,Aarav Patel,2,Information Technology,9.97
21BEE9212,Pooja Patel,3,Electrical Engineering,8.04
21BCH2344,Vivaan Reddy,3,Chemical Engineering,9.61
20BCH0960,Pooja Reddy,4,Chemical Engineering,9.89
22BEE5326,Sneha Verma,2,Electrical Engineering,8.55
23BCE8361,Aditya Gupta,1,Computer Engineering,9.12
23BCE4516,Arjun Verma,1,Computer Engineering,6.39
23BCE2821,Krishna Sharma,1,Computer Engineering,9.15
22BIT2369,Neha Sharma,2,Information Technology,9.38
20BEE3815,Ishita Reddy,4,Electrical Engineering,8.86
21BIT1214,Krishna Sharma,3,Information Technology,8.58
22BCE0665,Ishita Roy,2,Computer Engineering,6.96
22BME8169,Ananya Singh,2,Mechanical Engineering,9.48
20BME8817,Ananya Nair,4,Mechanical Engineering,7.8
23BME7963,Aditya Singh,1,Mechanical Engineering,8.44
21BCH2832,Pooja Reddy,3,Chemical Engineering,7.55
22BCE9426,Krishna Iyer,2,Computer Engineering,6.92
23BCH4169,Aditya Gupta,1,Chemical Engineering,6.68
21BIT4556,Krishna Verma,3,Information Technology,8.7
20BCH0476,Aditya Sharma,4,Chemical Engineering,8.62
23BCH8664,Krishna Verma,1,Chemical Engineering,6.35
21BME0874,Ishita Patel,3,Mechanical Engineering,6.72
23BME3557,Krishna Nair,1,Mechanical Engineering,9.96
20BCH9003,Arjun Roy,4,Chemical Engineering,6.09
22BCE8153,Arjun Reddy,2,Computer Engineering,9.96
22BCH9766,Sneha Nair,2,Chemical Engineering,8.72
23BEE1293,Arjun Singh,1,Electrical Engineering,8.24
21BME9621,Krishna Sharma,3,Mechanical Engineering,6.02
23BEE4678,Arjun Gupta,1,Electrical Engineering,7.05
23BCE2215,Aditya Das,1,Computer Engineering,8.44
20BIT3054,Ananya Singh,4,Information Technology,9.17
21BCH4248,Ananya Sharma,3,Chemical Engineering,8.93
22BIT8920,Aditya Verma,2,Information Technology,7.0
23BCE8213,Aditya Nair,1,Computer Engineering,9.16
22BCH1474,Krishna Verma,2,Chemical Engineering,7.41
23BME4570,Sneha Roy,1,Mechanical Engineering,7.4
22BIT2828,Arjun Verma,2,Information Technology,9.11
20BIT8472,Sneha Iyer,4,Information Technology,6.41
23BIT5603,Ishita Patel,1,Information Technology,8.77
20BCH7328,Ananya Iyer,4,Chemical Engineering,8.72
21BCH7623,Krishna Verma,3,Chemical Engineering,7.62
23BME8466,Ananya Roy,1,Mechanical Engineering,8.33
22BIT3687,Ananya Patel,2,Information Technology,8.8
20BCE4576,Vivaan Gupta,4,Computer Engineering,7.4
21BME0548,Krishna Iyer,3,Mechanical Engineering,7.0
20BME8600,Vivaan Das,4,Mechanical Engineering,7.92
22BCH6522,Sneha Singh,2,Chemical Engineering,8.07
20BEE0135,Krishna Iyer,4,Electrical Engineering,8.58
20BIT6136,Neha Das,4,Information Technology,6.48
20BIT4190,Krishna Singh,4,Information Technology,9.6
23BCH3840,Aditya Gupta,1,Chemical Engineering,8.77
20BIT8783,Aarav Das,4,Information Technology,9.06
23BCE2265,Ananya Gupta,1,Computer Engineering,8.34
22BIT4809,Pooja Iyer,2,Information Technology,6.01
22BCE6599,Arjun Sharma,2,Computer Engineering,8.72
20BEE8397,Pooja Sharma,4,Electrical Engineering,6.01
23BEE7291,Neha Iyer,1,Electrical Engineering,7.68
21BEE5889,Aarav Das,3,Electrical Engineering,6.13
21BCE1190,Neha Roy,3,Computer Engineering,9.44
22BIT4477,Aditya Patel,2,Information Technology,6.97
23BCH9046,Aditya Roy,1,Chemical Engineering,8.6
21BEE3814,Neha Singh,3,Electrical Engineering,7.24
22BCE8158,Arjun Verma,2,Computer Engineering,7.69
20BME7300,Neha Singh,4,Mechanical Engineering,8.09
22BME5703,Aditya Roy,2,Mechanical Engineering,7.01
20BIT4328,Ishita Singh,4,Information Technology,7.37
22BCH4969,Aarav Das,2,Chemical Engineering,6.02
23BME5241,Arjun Verma,1,Mechanical Engineering,9.6
21BIT2712,Sneha Roy,3,Information Technology,7.65
20BCH8398,Ananya Iyer,4,Chemical Engineering,7.1
20BCE1453,Neha Sharma,4,Computer Engineering,9.77
21BCH4579,Sneha Sharma,3,Chemical Engineering,9.33
22BME5919,Vivaan Reddy,2,Mechanical Engineering,7.78
21BCE3976,Aditya Das,3,Computer Engineering,6.41
23BCH0988,Ananya Verma,1,Chemical Engineering,7.56
23BEE6019,Aarav Sharma,1,Electrical Engineering,6.53
21BCE9596,Aditya Singh,3,Computer Engineering,9.31
22BCH6826,Sneha Das,2,Chemical Engineering,9.14
20BCH9619,Vivaan Nair,4,Chemical Engineering,9.79
22BEE5180,Neha Nair,2,Electrical Engineering,8.76
23BCH6217,Arjun Nair,1,Chemical Engineering,6.84
23BCE9564,Vivaan Patel,1,Computer Engineering,6.03
21BME8815,Krishna Das,3,Mechanical Engineering,8.74
20BCH2166,Aarav Verma,4,Chemical Engineering,7.09
20BIT2058,Neha Patel,4,Information Technology,9.2
23BIT6423,Ishita Singh,1,Information Technology,7.0
23BCE1062,Aarav Das,1,Computer Engineering,6.64
23BCH7348,Vivaan Sharma,1,Chemical Engineering,7.46
23BME9535,Sneha Sharma,1,Mechanical Engineering,7.38
20BCE8285,Vivaan Das,4,Computer Engineering,9.25
20BIT9559,Ishita Singh,4,Information Technology,6.95
22BCE0961,Arjun Sharma,2,Computer Engineering,7.49
23BCH5758,Vivaan Nair,1,Chemical Engineering,7.92
20BCE7767,Aditya Das,4,Computer Engineering,6.03
22BCH6680,Krishna Iyer,2,Chemical Engineering,8.59
20BME7395,Pooja Patel,4,Mechanical Engineering,6.46
21BME1684,Ananya Nair,3,Mechanical Engineering,7.61
22BCH5317,Krishna Patel,2,Chemical Engineering,8.14
21BIT6297,Sneha Nair,3,Information Technology,7.27
23BCE5811,Arjun Patel,1,Computer Engineering,8.95
21BEE2474,Arjun Das,3,Electrical Engineering,9.24
23BME8951,Aarav Patel,1,Mechanical Engineering,6.41
22BME9763,Arjun Iyer,2,Mechanical Engineering,6.75
20BME6280,Sneha Das,4,Mechanical Engineering,6.16
21BME3604,Krishna Reddy,3,Mechanical Engineering,8.2
22BCE3727,Arjun Roy,2,Computer Engineering,8.55
21BCE6932,Aditya Verma,3,Computer Engineering,6.94
21BCH1310,Aditya Sharma,3,Chemical Engineering,7.54
22BCH8901,Krishna Sharma,2,Chemical Engineering,8.79
21BEE9842,Krishna Roy,3,Electrical Engineering,8.84
23BCE2523,Ananya Roy,1,Computer Engineering,6.19
21BEE2901,Aarav Gupta,3,Electrical Engineering,6.37
20BCE8850,Arjun Patel,4,Computer Engineering,9.13
23BME8492,Vivaan Roy,1,Mechanical Engineering,6.57
20BCE6515,Vivaan Singh,4,Computer Engineering,7.35
20BME2809,Pooja Verma,4,Mechanical Engineering,7.24
21BIT5856,Vivaan Sharma,3,Information Technology,8.81
20BCE6596,Aarav Gupta,4,Computer Engineering,8.05
23BME7033,Arjun Roy,1,Mechanical Engineering,8.84
21BCE6260,Krishna Nair,3,Computer Engineering,9.47
22BCE9376,Arjun Singh,2,Computer Engineering,6.91
20BCE4022,Aditya Patel,4,Computer Engineering,6.55
21BCE0208,Ishita Nair,3,Computer Engineering,6.08
22BIT8006,Aarav Gupta,2,Information Technology,8.57
20BCE5241,Ishita Nair,4,Computer Engineering,8.89
22BEE9909,Ishita Roy,2,Electrical Engineering,8.9
23BEE9720,Ishita Roy,1,Electrical Engineering,6.01
23BCH1868,Krishna Das,1,Chemical Engineering,7.69
22BME7005,Sneha Patel,2,Mechanical Engineering,8.24
21BCE7327,Ananya Verma,3,Computer Engineering,8.47
21BME5857,Sneha Iyer,3,Mechanical Engineering,6.74
21BEE1647,Sneha Sharma,3,Electrical Engineering,8.8
23BEE0370,Neha Roy,1,Electrical Engineering,8.95
23BCH9373,Ananya Patel,1,Chemical Engineering,8.61
22BME7787,Sneha Gupta,2,Mechanical Engineering,6.32
22BCH3642,Krishna Patel,2,Chemical Engineering,8.03
20BEE4422,Ishita Iyer,4,Electrical Engineering,7.45
23BIT3962,Krishna Das,1,Information Technology,7.44
20BME5005,Arjun Sharma,4,Mechanical Engineering,8.3
23BEE4327,Neha Nair,1,Electrical Engineering,6.08
21BIT7181,Pooja Reddy,3,Information Technology,7.18
22BME8201,Krishna Reddy,2,Mechanical Engineering,8.79
21BME4995,Ishita Sharma,3,Mechanical Engineering,7.82
20BME9160,Arjun Sharma,4,Mechanical Engineering,8.08
22BIT3462,Pooja Roy,2,Information Technology,6.04
21BCH3913,Pooja Singh,3,Chemical Engineering,8.73
23BCH0281,Pooja Verma,1,Chemical Engineering,6.95
22BCH2447,Vivaan Gupta,2,Chemical Engineering,7.8
21BEE7001,Arjun Roy,3,Electrical Engineering,8.72
20BME3469,Ishita Reddy,4,Mechanical Engineering,9.05
20BIT6966,Sneha Iyer,4,Information Technology,8.72
20BME1950,Aarav Singh,4,Mechanical Engineering,6.14
23BCE5461,Ishita Reddy,1,Computer Engineering,6.1
22BIT5901,Arjun Nair,2,Information Technology,10.0
23BIT5181,Aarav Verma,1,Information Technology,6.19
20BIT0099,Vivaan Sharma,4,Information Technology,9.97
21BCE6038,Ananya Gupta,3,Computer Engineering,9.93
20BME8712,Vivaan Patel,4,Mechanical Engineering,9.32
22BCH7572,Ishita Das,2,Chemical Engineering,9.73
23BCE0867,Sneha Patel,1,Computer Engineering,6.76
22BIT7845,Arjun Roy,2,Information Technology,7.72
21BME1181,Pooja Singh,3,Mechanical Engineering,8.88
23BIT5349,Aarav Singh,1,Information Technology,9.03
23BCH0899,Vivaan Das,1,Chemical Engineering,7.25
23BCH0572,Sneha Patel,1,Chemical Engineering,9.15
23BEE5613,Aditya Iyer,1,Electrical Engineering,8.78
21BCH6986,Aditya Nair,3,Chemical Engineering,6.38
21BME4380,Aditya Verma,3,Mechanical Engineering,9.34
23BME5976,Pooja Sharma,1,Mechanical Engineering,7.31
23BME8737,Vivaan Reddy,1,Mechanical Engineering,8.39
21BEE9867,Vivaan Iyer,3,Electrical Engineering,7.26
23BCH9610,Krishna Patel,1,Chemical Engineering,7.85
23BIT3289,Ananya Sharma,1,Information Technology,7.33
22BME5779,Neha Patel,2,Mechanical Engineering,9.28
21BIT5487,Vivaan Das,3,Information Technology,6.62
20BCH0367,Sneha Patel,4,Chemical Engineering,7.89
21BIT5160,Ananya Nair,3,Information Technology,6.6
21BCH6849,Ananya Verma,3,Chemical Engineering,9.93
23BEE9869,Arjun Verma,1,Electrical Engineering,6.4
21BEE5198,Aarav Reddy,3,Electrical Engineering,8.12
22BCE0248,Ananya Das,2,Computer Engineering,9.21
23BEE6710,Aarav Roy,1,Electrical Engineering,7.37
22BCH6474,Aditya Gupta,2,Chemical Engineering,8.26
20BME7771,Sneha Patel,4,Mechanical Engineering,9.83
20BCE4437,Sneha Roy,4,Computer Engineering,6.5
21BEE5417,Vivaan Das,3,Electrical Engineering,6.42
22BCH7868,Aarav Sharma,2,Chemical Engineering,8.87
23BCE3709,Aditya Sharma,1,Computer Engineering,6.03
21BCH5789,Sneha Reddy,3,Chemical Engineering,6.5
21BEE7648,Ishita Patel,3,Electrical Engineering,8.37
20BIT5514,Vivaan Verma,4,Information Technology,9.07
